code,title,level,ects,description,topics,filename
B-767-01,Operating Systems and System Programing,Bachelor,6,"# Learning outcome LO1 Know the functions of operating systems, architecture, components and principles of operation LO2 Be able to manage proceses, threads, memory, files LO3 Use the posibilities of system programing to implement software solutions",,Subject_B_767_01_en.pdf
B-77-04,Web Aplication Development Tols,Bachelor,3,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Course overview. Java & JVM. 2 JSP & Servlets, simple web aplication using standard Java 3 libraries. Version control systems. Presentation layer. Java Servlet, JSP, JSF technologies. 3 Wicket framework. Enterprise web aplication architecture. Domain-driven 3 design. PHP intro. 4 Data aces and persistence. 3 Clean code, unit a",Subject_B_777_04_en.pdf
B-925-01,Skils consolidation in English,Bachelor,3,# Learning outcome LO1,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Question forms 0 Relative clauses 0 Pasives 0 Modals of obligation / permision 0 Basic Reading concepts 0 Topic sentences and paragraphing 0 Reported spech 0 Verbs 0",Subject_B_925_01_en.pdf
B-925-02,Linear Algebra,Bachelor,3,"# Learning outcome LO1 Know and manipulate vectors and matrices, including basic operations and properties. LO2 Understand the concepts of vector spaces, linear independence, bases, and dimension. LO3 Understand and aply linear transformations and their properties LO4 Solve systems of linear equations and understand diferent solving methods LO5 Aply theoretical concepts to practical problems in enginering and sciences","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction to Linear Algebra 0 Vector Spaces 0 Bases and Dimensions 0 Linear Transformations 0 Solving Linear Systems 0 Eigenvalues and Eigenvectors 0",Subject_B_925_02_en.pdf
B-925-03,Python Programing,Bachelor,3,"# Learning outcome LO1 Provide a comprehensive introduction to Python programing, emphasizing its syntax, structures, and libraries LO2 Translate algorithmic concepts learned in C to Python, enhancing problem-solving skils LO3 Introduce advanced Python features such as object-oriented programing, file handling, and libraries for data manipulation LO4 Aply Python to practical enginering and data science problems","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction to Python 0 Object-Oriented Programing 0 File Handling and I/O 0 Python Libraries for Data Science 0 Practical Projects and Aplications 0",Subject_B_925_03_en.pdf
B-925-04,Basics of Digital Electronics,Bachelor,3,# Learning outcome LO1 Understand the basics of digital electronics LO2 Master combinational and sequential logic LO3 Model and design synchronous automata,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction to Digital Electronics Basics 0 Combinational Logic 0 Binary Modeling, Basic Logic Gates 0 Number Encoding, Adition, Subtraction, Comparison 0 Sequential Logic 0 D Flip-Flop 0 Registers 0 Counters 0 Synchronous Automata Design 0 Mealy Machines 0 More Machines 0 Automata Design Methodology 0 Diferent Types of Encod",Subject_B_925_04_en.pdf
B-925-05,CSR and GDPR,Bachelor,3,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction to CSR 0 CSR Principles and Aplications 0 Introduction to GDPR 0 Practical Aplication of GDPR 0",Subject_B_925_05_en.pdf
B-925-06,Internet of Things (IoT),Bachelor,3,# Learning outcome LO1,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Overview of IoT Environment and Services 0 IoT Technologies 0 Architectures and Standardization 0 Software Solutions 0 Data Management 0 Stakeholders, Solutions, Markets 0",Subject_B_925_06_en.pdf
B-925-07,Operating Systems,Bachelor,3,# Learning outcome LO1,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 General Introduction 0 Roles 0 Diferent Aspects of Systems 0 Hardware Resource Management, Drivers 0 File Management, Main File Systems 0 Memory Management 0 Components 0 Proceses 0 Scheduling Concepts 0 Inter-proces Comunication 0 Structural Diferences Betwen Single-tasking, 0 Coperative Multitasking, Premptive Multitasking O",Subject_B_925_07_en.pdf
B-925-08,Probability and Statistics,Bachelor,3,"# Learning outcome LO1 Model and solve random problems. LO2 Master discrete and continuous probability distributions. LO3 Calculate expectations, variances, and moments of distributions. LO4 Analyze data sets and interpret statistical results LO5 Understand convergence theorems to aproach multivariate analysis methods.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction to probability and statistics 0 Discrete and continuous random variables 0 Probability distributions 0 Expectation, variance, and moments 0 Important probability laws (binomial, Poison, normal) 0 Convergence theorems (law of large numbers, central 0 limit theorem)",Subject_B_925_08_en.pdf
B-925-09,Electronics and Microprocesor,Bachelor,3,"# Learning outcome LO1 • Describe the architecture and components of the Raspbery Pi. LO2 • Instal, configure, and use the Raspbery Pi. LO3 • Understand and use basic Linux comands. LO4 • Implement digital electronics concepts with microcontrolers. LO5 • Write Python code for interfacing the Raspbery Pi with sensors and actuators.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction to Raspbery Pi 0 Basics of Linux 0 Digital Electronics 0 Python Programing for Raspbery Pi 0 Sensor and Actuator Interfacing 0 IoT Project for Smart Cities 0 Group Project. Project Presentation 0",Subject_B_925_09_en.pdf
C-09-03,Latvian Language,Bachelor,3,"LO3 fil in forms; write an invitation, mesage or any other information stating the time, place and adres provide writen and oral information on certain themes.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Formal and informal gretings. Alphabet. Personal 4 information, describing personality. Verbs, nouns Family members, relatives. Saying the dates, e.g. date of 6 birth. Adres. Place of residence. My house, flat. City plan. 4 Transport. Prepositions. Human body parts. Health. Fod. Prepositions and cases 6 concord. Request, imper",Subject_C_009_03_en.pdf
C-142-04,"Labour Safety, Civil Defence and Environment Protection",Bachelor,3,,,Subject_C_142_04_en.pdf
C-603-05,Latvian for Foreign Students,Bachelor,3,"the course is to provide students with basic knowledge of the Latvian language, to introduce gramar structures and vocabulary used in daily conversations as wel as in social and state institutions. | # Learning outcome LO1 Know basic language constructions and paterns LO2 Use simple verbs in simple tenses to cover main topics, use simple word-combinations and numerals for forming language constructions related to the topic 1 Learning outcomes LO3 Provide writen and oral information on certain topics","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 P Formal and informal gretings. Personal information. 4 W1 W2 Family P My ocuptation 6 W3 W5 P My house, flat. On excursion 4 W6 W7 P Numbers, months, a clock 4 W8 W9 P My studies at a university 4 W9 W10 P Comparison. Declinations 2 W1 W12 P In the shop. Money 4 W13 W14 P Means of transport. 4 W15 W16",Subject_C_603_05_en.pdf
