university,programme,programme_code,faculty,level,course_code,course_name,ects
RTU,Medical Engineering and Medical Physics,MCF0,Faculty of Civil and Mechanical Engineering,Bachelor,DE0426,Computerized Decision-Making in Medicine,3
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0283,Database Management Systems,6
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0008,Object-Oriented Programming,4
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0136,Fundamentals of Computer Simulation and Modelling,5
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0010,Introduction to Computer Architecture,4
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0013,Operating Systems,4
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0130,Computer Networks,5
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0144,Fundamentals of Artificial Intelligence,5
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0284,Software Engineering,3
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0285,Systems Analysis and Knowledge Acquisition,3
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0915,Algorithmization and Programming of Solutions,8
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0917,Programming Languages,5
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0918,Data Structures and Algorithms,7
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0332,Introduction to Image Processing,3
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,SD0003,Innovative Product Development and Entrepreneurship,6
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0290,Software Testing Technologies and Principles,3
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0296,Automated Functional and Load Testing of Web Solutions,6
RTU,Computer Systems,DBD0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0275,Algorithms and Methods of Programming,3
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0344,Introduction to Electronics and Telecommunications Branch,6
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,SD0003,Innovative Product Development and Entrepreneurship,6
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0359,Telecommunications Systems,9
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0177,Digital Electronics and Computer Architecture,5
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0048,Digital Devices and Systems,4
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0357,Telecommunications Theory,9
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0353,Transmission Systems,9
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0049,Telecommunications and Computer Networks,4
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0078,Distributed Systems in Telecommunications,4
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0362,The C Programming Language,3
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0201,Computer Studies Basic Course,5
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0182,Network Databases and Databanks,5
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0086,Computer Network Monitoring Diagnostics and Maintenance,4
RTU,Telecommunication Technologies and Data Transmission Engineering,EBG0,"Faculty of Computer Science, Information Technology and Energy",Bachelor,DE0355,Mobile Network Architecture,6
